π;ÔÓÎ; À¿——;¬”«;’Œ¡¡»;“≈—“1;“≈—“2;“≈—“3;“≈—“4;“≈—“5;Œ“Ã≈“ ¿1;Œ“Ã≈“ ¿2
39;1;2;2;3;6;6;13;21;16;4,1;4,5
40;1;1;4;1;8;6;10;9;9;3,75;4,15
41;1;3;1;3;13;14;15;16;19;4,85;4,45
42;1;2;2;1;6;4;12;12;12;3,95;3,95
43;2;3;4;1;9;10;9;8;8;4,2;4,2
44;1;2;4;3;8;13;17;15;17;4;4,5
45;1;1;1;2;7;9;14;14;13;4;4,2
46;2;3;2;2;13;12;10;13;13;4,55;4,65
47;1;3;2;3;10;10;10;6;10;3,85;4,35
48;1;3;2;3;9;11;13;13;13;4,15;4,55
49;1;2;2;2;10;11;11;12;13;3,6;4
50;2;2;1;2;10;13;10;6;10;3,9;4,2
51;1;3;2;3;13;12;11;11;14;4,25;4,65
52;2;1;1;2;11;11;13;13;11;3,9;3,8
53;1;2;1;1;7;11;9;8;9;4,05;4,25
54;2;1;1;2;11;13;12;8;11;4,2;4,3
55;1;3;1;2;15;10;16;11;18;4,35;4,85
56;2;1;4;2;9;17;8;13;14;3,8;4,4
57;1;1;4;1;10;11;10;13;13;3,45;4,65
58;1;3;2;3;11;13;8;7;13;4,45;4,55
59;2;2;2;2;10;10;12;8;12;4;4,3
60;2;2;2;2;17;14;11;12;7;3,7;4,2
61;1;2;2;3;9;12;13;11;10;4,2;4,1
62;2;1;3;2;9;11;16;13;14;3,9;4,3
63;1;3;1;3;11;8;14;14;12;4,35;4,85
64;1;3;2;2;10;13;12;14;13;4,25;4,55
65;1;3;2;2;10;13;10;8;12;3,95;4,25
66;1;2;4;2;13;13;13;12;14;4,1;4,3
67;2;2;4;2;10;12;11;11;11;3,9;4,3
68;1;3;2;3;11;9;14;16;14;4,25;4,55
69;1;3;4;3;8;11;11;14;18;4,35;4,65
70;1;2;1;2;11;5;17;10;13;3,9;4
71;2;2;4;2;10;14;4;7;10;3,6;4,1
72;1;3;2;1;10;8;17;15;16;4,5;4,1
73;2;2;1;1;14;11;11;11;13;3,45;3,85
74;1;1;4;1;7;10;14;11;11;3,55;3,95
75;2;1;4;2;14;12;12;10;12;4,1;3,8
76;1;1;3;2;13;11;11;14;15;3,6;4
77;1;3;3;2;10;12;10;17;9;4,25;4,45
78;1;2;1;3;5;7;11;13;12;3,8;4,2
79;1;1;4;2;10;9;11;16;17;4,3;4,2
80;1;2;4;2;13;11;12;12;12;4,6;4,3
81;2;2;4;1;9;12;13;6;6;3,55;3,55
82;1;2;4;1;10;11;15;17;13;3,95;4,55
83;1;3;2;1;13;11;15;13;15;4,2;4,6
84;2;2;4;2;9;6;10;10;8;3,8;4,3
85;1;2;4;3;10;13;13;13;7;3,7;4,2
86;2;1;1;1;13;14;10;12;10;3,85;3,95
87;2;1;2;1;6;6;8;9;9;3,55;4,05
88;1;1;3;1;9;8;11;6;9;3,55;4,25
89;1;1;1;1;11;9;18;12;16;3,55;4,35
90;1;2;3;1;9;10;10;12;14;3,85;4,15
91;1;2;4;3;6;8;15;18;14;4;4,4
92;2;2;4;1;10;13;11;12;10;3,75;4,15
93;2;1;4;2;11;9;9;8;8;3,9;4,2
94;1;2;3;1;9;9;12;12;14;3,75;4,25
95;1;3;4;3;6;7;22;16;13;4,15;4,05
96;1;1;2;2;12;12;12;11;9;4,1;4,1
97;1;2;4;1;9;13;13;10;11;3,45;4,35
98;1;1;2;3;5;7;15;15;12;3,7;4,3
99;2;1;4;1;10;14;9;10;12;3,75;4,45
100;2;1;1;1;7;7;14;8;10;3,65;3,85
